,POPULARITY,BUCKET,TOTAL_SELL,LIKE_,REVIEW,PRICE,FIRST_PAGE
35140,1.0,1.0,1.0,2.0,0.0,4.0,0
35237,1.0,2.0,1.0,3.0,0.0,5.0,0
35238,2.0,1.0,4.0,2.0,4.0,4.0,0
35268,1.0,1.0,1.0,1.0,0.0,4.0,0
35291,0.0,1.0,1.0,0.0,0.0,7.0,0
35352,2.0,1.0,1.0,1.0,4.0,4.0,0
35393,1.0,1.0,1.0,0.0,0.0,3.0,0
35421,2.0,3.0,3.0,3.0,5.0,3.0,0
35426,1.0,1.0,2.0,0.0,0.0,1.0,0
35428,1.0,1.0,1.0,1.0,0.0,3.0,0
35432,1.0,1.0,3.0,1.0,4.0,3.0,0
35454,1.0,2.0,2.0,2.0,5.0,4.0,0
35465,1.0,1.0,1.0,1.0,6.0,3.0,0
35466,2.0,1.0,0.0,1.0,3.0,3.0,0
35569,1.0,3.0,1.0,2.0,3.0,4.0,0
35647,1.0,3.0,1.0,3.0,7.0,4.0,0
35649,1.0,1.0,1.0,2.0,4.0,3.0,0
35656,1.0,3.0,2.0,4.0,3.0,4.0,0
35689,1.0,1.0,2.0,0.0,4.0,2.0,0
35690,0.0,1.0,1.0,0.0,5.0,3.0,0
35716,0.0,3.0,1.0,3.0,0.0,4.0,0
36123,1.0,1.0,1.0,1.0,3.0,3.0,0
36165,1.0,1.0,2.0,1.0,3.0,4.0,0
36202,1.0,1.0,1.0,0.0,6.0,6.0,0
36543,1.0,3.0,1.0,3.0,0.0,3.0,0
36548,1.0,1.0,1.0,0.0,3.0,3.0,0
36549,1.0,1.0,1.0,1.0,0.0,4.0,0
36628,1.0,0.0,1.0,0.0,0.0,3.0,0
36701,2.0,4.0,6.0,5.0,6.0,4.0,0
36703,3.0,5.0,5.0,5.0,5.0,7.0,0
36704,1.0,1.0,1.0,1.0,0.0,4.0,0
36705,1.0,6.0,5.0,6.0,6.0,4.0,0
36706,4.0,2.0,4.0,2.0,4.0,3.0,0
36708,2.0,3.0,3.0,3.0,8.0,4.0,0
36709,2.0,3.0,5.0,3.0,4.0,3.0,0
36710,1.0,2.0,5.0,2.0,4.0,3.0,0
36712,3.0,2.0,4.0,1.0,7.0,4.0,0
36713,1.0,1.0,1.0,0.0,6.0,2.0,0
36714,2.0,2.0,5.0,1.0,3.0,1.0,0
36716,1.0,1.0,1.0,1.0,0.0,2.0,0
36720,1.0,6.0,6.0,6.0,4.0,2.0,0
36721,1.0,2.0,4.0,2.0,5.0,1.0,0
36722,1.0,5.0,4.0,5.0,6.0,4.0,0
36724,4.0,1.0,1.0,1.0,0.0,2.0,0
36725,2.0,3.0,5.0,2.0,5.0,4.0,0
36726,1.0,1.0,3.0,1.0,5.0,2.0,0
36729,1.0,1.0,2.0,0.0,3.0,2.0,0
36732,2.0,2.0,5.0,3.0,6.0,2.0,0
36734,1.0,1.0,1.0,2.0,4.0,2.0,0
36736,2.0,1.0,0.0,0.0,5.0,2.0,0
36738,1.0,1.0,2.0,0.0,8.0,3.0,0
36741,1.0,1.0,3.0,1.0,0.0,1.0,0
36742,2.0,1.0,1.0,1.0,6.0,1.0,0
36744,0.0,1.0,1.0,0.0,5.0,2.0,0
36746,3.0,2.0,3.0,2.0,0.0,3.0,0
36753,1.0,1.0,0.0,0.0,4.0,2.0,0
36754,1.0,2.0,3.0,2.0,5.0,4.0,0
36755,1.0,1.0,2.0,0.0,8.0,2.0,0
36757,3.0,4.0,2.0,4.0,3.0,3.0,0
36758,3.0,2.0,5.0,3.0,4.0,1.0,0
36759,2.0,3.0,3.0,2.0,3.0,2.0,0
36760,2.0,3.0,1.0,4.0,3.0,4.0,0
36761,1.0,3.0,4.0,3.0,6.0,3.0,0
36764,3.0,3.0,4.0,3.0,5.0,3.0,0
36766,3.0,2.0,1.0,1.0,0.0,3.0,0
36767,3.0,2.0,4.0,2.0,4.0,4.0,0
